SZC_6_AUD_0 , Nie , Nie , Tak , średnia , dobra , dobra , średnia
SZC_6_AUD_0 , Tak , Nie , Nie , słaba , średnia , średnia , średnia
SZC_6_AUD_0 , Tak , Nie , Nie , słaba , zła , dobra , zła
SZC_6_AUD_0 , Tak , Nie , Nie , średnia , doskonała , doskonała , doskonała
SZC_6_AUD_0 , Nie , Tak , Nie , słaba , słaba , zła , doskonała
SZC_6_AUD_0 , Nie , Tak , Tak , doskonała , doskonała , słaba , dobra
SZC_6_AUD_0 , Nie , Nie , Nie , zła , zła , słaba , zła
SZC_6_AUD_0 , Nie , Nie , Tak , słaba , słaba , zła , dobra
SZC_6_AUD_0 , Nie , Nie , Tak , doskonała , zła , słaba , dobra
SZC_6_AUD_0 , Nie , Tak , Tak , średnia , dobra , słaba , średnia
SZC_6_AUD_0 , Tak , Tak , Tak , średnia , średnia , doskonała , zła
SZC_6_AUD_0 , Tak , Nie , Nie , doskonała , zła , średnia , zła
SZC_6_AUD_0 , Nie , Nie , Tak , doskonała , słaba , doskonała , słaba
SZC_6_AUD_0 , Tak , Tak , Tak , słaba , średnia , średnia , średnia
WRO_8_AUD_1 , Tak , Tak , Tak , zła , zła , słaba , słaba
WRO_8_AUD_1 , Tak , Nie , Tak , zła , doskonała , średnia , średnia
WRO_8_AUD_1 , Nie , Nie , Tak , dobra , dobra , doskonała , dobra
WRO_8_AUD_1 , Tak , Tak , Tak , zła , dobra , średnia , zła
WRO_8_AUD_1 , Nie , Tak , Nie , dobra , dobra , słaba , doskonała
WRO_8_AUD_1 , Nie , Tak , Nie , doskonała , słaba , zła , doskonała
WRO_8_AUD_1 , Nie , Tak , Tak , słaba , doskonała , słaba , zła
WRO_8_AUD_1 , Nie , Nie , Nie , słaba , średnia , słaba , słaba
WRO_8_AUD_1 , Tak , Nie , Nie , doskonała , zła , dobra , zła
WRO_8_AUD_1 , Nie , Tak , Nie , doskonała , średnia , dobra , zła
WRO_8_AUD_1 , Nie , Tak , Tak , zła , dobra , doskonała , dobra
WRO_8_AUD_1 , Tak , Tak , Tak , średnia , doskonała , dobra , słaba
WRO_8_AUD_1 , Nie , Nie , Tak , doskonała , doskonała , doskonała , słaba
WRO_8_AUD_1 , Tak , Tak , Tak , doskonała , doskonała , słaba , słaba
WRO_8_AUD_1 , Tak , Tak , Nie , doskonała , dobra , słaba , dobra
WRO_8_AUD_1 , Tak , Nie , Nie , słaba , słaba , średnia , zła
WRO_8_AUD_1 , Tak , Nie , Nie , słaba , doskonała , zła , doskonała
WRO_8_AUD_1 , Nie , Nie , Nie , doskonała , słaba , doskonała , doskonała
WRO_8_AUD_1 , Nie , Nie , Tak , słaba , średnia , słaba , średnia
WRO_8_AUD_1 , Tak , Nie , Nie , średnia , doskonała , doskonała , słaba
WRO_8_AUD_1 , Tak , Nie , Nie , dobra , doskonała , doskonała , dobra
WRO_8_AUD_1 , Tak , Nie , Nie , średnia , dobra , dobra , dobra
WRO_8_AUD_1 , Tak , Tak , Tak , zła , doskonała , doskonała , słaba
WRO_8_AUD_1 , Tak , Nie , Tak , doskonała , dobra , słaba , słaba
WRO_8_AUD_1 , Tak , Nie , Nie , zła , dobra , zła , dobra
WRO_8_AUD_1 , Nie , Tak , Tak , średnia , doskonała , doskonała , średnia
WRO_8_AUD_1 , Nie , Tak , Tak , słaba , zła , zła , słaba
WRO_8_AUD_1 , Tak , Tak , Tak , dobra , zła , dobra , zła
WRO_8_AUD_1 , Tak , Tak , Tak , słaba , średnia , średnia , zła
WRO_8_AUD_1 , Tak , Nie , Tak , zła , słaba , doskonała , średnia
WRO_8_AUD_2 , Nie , Nie , Nie , słaba , doskonała , średnia , średnia
WRO_8_AUD_2 , Tak , Nie , Tak , słaba , zła , słaba , dobra
WRO_8_AUD_2 , Nie , Tak , Tak , zła , zła , słaba , doskonała
WRO_8_AUD_2 , Tak , Tak , Tak , średnia , zła , średnia , doskonała
WRO_8_AUD_2 , Tak , Tak , Nie , słaba , doskonała , słaba , doskonała
WRO_8_AUD_2 , Nie , Nie , Tak , zła , zła , doskonała , dobra
WRO_8_AUD_2 , Tak , Nie , Nie , słaba , średnia , doskonała , średnia
WRO_8_AUD_2 , Tak , Tak , Tak , słaba , dobra , doskonała , zła
WRO_8_AUD_2 , Tak , Tak , Tak , słaba , słaba , średnia , dobra
WRO_8_AUD_2 , Tak , Tak , Tak , doskonała , słaba , dobra , średnia
WRO_8_AUD_2 , Tak , Tak , Tak , dobra , średnia , dobra , doskonała
POZ_7_AUD_3 , Nie , Tak , Nie , średnia , dobra , dobra , słaba
POZ_7_AUD_3 , Nie , Tak , Nie , średnia , słaba , dobra , średnia
POZ_7_AUD_3 , Nie , Tak , Tak , słaba , średnia , średnia , doskonała
POZ_7_AUD_3 , Tak , Nie , Tak , średnia , średnia , średnia , doskonała
POZ_7_AUD_3 , Tak , Tak , Tak , doskonała , średnia , słaba , doskonała
POZ_7_AUD_3 , Nie , Tak , Nie , zła , zła , słaba , średnia
POZ_7_AUD_3 , Tak , Tak , Nie , doskonała , doskonała , dobra , dobra
POZ_7_AUD_3 , Tak , Tak , Tak , średnia , doskonała , doskonała , dobra
POZ_7_AUD_3 , Tak , Nie , Tak , średnia , dobra , dobra , zła
POZ_7_AUD_3 , Tak , Nie , Tak , dobra , słaba , doskonała , zła
POZ_7_AUD_3 , Tak , Tak , Nie , średnia , słaba , doskonała , doskonała
POZ_7_AUD_3 , Nie , Nie , Nie , średnia , dobra , słaba , doskonała
POZ_7_AUD_3 , Nie , Tak , Nie , dobra , słaba , zła , słaba
POZ_7_AUD_3 , Tak , Nie , Nie , dobra , doskonała , zła , średnia
POZ_7_AUD_3 , Tak , Nie , Tak , doskonała , średnia , zła , słaba
POZ_7_AUD_3 , Nie , Nie , Nie , średnia , średnia , średnia , słaba
POZ_7_AUD_3 , Nie , Tak , Nie , średnia , średnia , średnia , słaba
POZ_7_AUD_3 , Tak , Nie , Tak , doskonała , doskonała , słaba , doskonała
POZ_7_AUD_3 , Tak , Nie , Tak , średnia , dobra , zła , doskonała
POZ_7_AUD_3 , Tak , Tak , Nie , słaba , dobra , doskonała , dobra
POZ_7_AUD_3 , Tak , Tak , Tak , słaba , dobra , zła , słaba
POZ_7_AUD_3 , Tak , Nie , Nie , zła , średnia , słaba , doskonała
POZ_7_AUD_3 , Nie , Nie , Tak , zła , doskonała , dobra , dobra
POZ_7_AUD_3 , Tak , Nie , Tak , dobra , słaba , zła , doskonała
POZ_7_AUD_3 , Tak , Nie , Nie , zła , dobra , dobra , słaba
POZ_7_AUD_3 , Nie , Nie , Tak , średnia , dobra , dobra , średnia
POZ_7_AUD_3 , Tak , Tak , Nie , średnia , doskonała , dobra , średnia
POZ_7_AUD_3 , Tak , Nie , Tak , słaba , zła , średnia , zła
POZ_7_AUD_3 , Nie , Tak , Tak , słaba , zła , doskonała , średnia
POZ_7_AUD_3 , Nie , Nie , Tak , dobra , doskonała , słaba , słaba
SZC_6_AUD_4 , Tak , Nie , Nie , zła , słaba , dobra , doskonała
SZC_6_AUD_4 , Tak , Nie , Nie , zła , doskonała , słaba , średnia
SZC_6_AUD_4 , Nie , Nie , Nie , zła , słaba , zła , doskonała
SZC_6_AUD_4 , Tak , Nie , Tak , dobra , doskonała , słaba , średnia
SZC_6_AUD_4 , Tak , Tak , Nie , średnia , doskonała , średnia , doskonała
